last_action,read_file,grep_search,list_directory,glob_pattern,edit_file,write_file,apply_patch,run_bash,run_tests,lint_or_typecheck,ask_user,plan_task,web_search,respond_only,N,top1,top1%
,1488,1046,1818,567,228,708,6,1011,120,72,629,1121,109,77,9000,list_directory,20.2
read_file,1240,1331,130,562,2577,36,770,537,184,94,370,226,272,558,8887,edit_file,29.0
grep_search,1819,1726,185,1181,2065,13,523,372,190,71,278,205,253,531,9412,edit_file,21.9
list_directory,1059,907,356,444,370,368,55,133,34,18,198,136,25,120,4223,read_file,25.1
glob_pattern,771,1102,343,872,643,108,132,168,63,30,150,97,84,404,4967,grep_search,22.2
edit_file,647,996,170,559,1638,8,1076,739,2444,727,342,133,123,1018,10620,run_tests,23.0
write_file,105,55,40,26,584,1,6,415,49,29,34,44,5,53,1446,edit_file,40.4
apply_patch,241,443,88,162,135,1,689,277,655,757,135,73,48,713,4417,lint_or_typecheck,17.1
run_bash,550,547,339,235,878,108,111,978,195,135,190,64,45,422,4797,run_bash,20.4
run_tests,300,547,106,129,1040,20,386,147,466,147,107,49,33,774,4251,edit_file,24.5
lint_or_typecheck,136,172,46,40,436,17,502,89,107,177,64,20,17,193,2016,apply_patch,24.9
ask_user,335,439,239,194,309,52,54,98,33,13,47,285,24,70,2192,grep_search,20.0
plan_task,436,415,429,203,42,8,466,80,15,8,76,177,129,100,2584,apply_patch,18.0
web_search,130,186,40,110,226,33,47,24,6,5,81,49,106,145,1188,edit_file,19.0
