exp_id,ts,track,model,serialize_ver,max_len,loss,screen_or_full,pooled_oof,sim_only_oof,holdout,lb_public,notes
lin_v1,2026-07-01,eda,tfidf+linsvc,v1,-,hinge,full5,0.4346,0.4274,0.4422,,prompt-only generalizable baseline (GroupKFold)
lin_v1_rand,2026-07-01,eda,tfidf+linsvc,v1,-,hinge,full5,0.4334,,,,RandomKFold (leakage gap ~0 vs GroupKFold)
lin_v2_screen,2026-07-01,eda,tfidf+linsvc,v2,-,hinge,fold0,0.5237,,,,+last action = +0.089 (biggest single lever)
lin_v3_screen,2026-07-01,eda,tfidf+linsvc,v3,-,hinge,fold0,0.4936,,,,history dilutes linear model; hard6=0.340
lin_v4_screen,2026-07-01,eda,tfidf+linsvc,v4,-,hinge,fold0,0.5028,,,,hard6=0.354 (best on hard classes)
xlmr_v3_calib,2026-07-02,A,xlm-roberta-base,v3,160,weighted-ce,full5,0.6183,0.6307,0.6469,0.62851,"A100 batch128 3ep; soup greedy=[fold0] only; bias +0.024; 30k=25s A100; zip 515MB PASS | LB rank87, CV~LB gap +0.010 (pooled-OOF anchors LB)"
xlmr_v4_esc1,2026-07-02,A,xlm-roberta-base,v4,256,weighted-ce,full5,0.6770,0.6902,0.6892,0.67090,"+0.059 vs calib; 4ep LR3e-5; bias +0.004 holdout; 30k=32s A100; zip PASS -> 제출#2 후보 | LB 0.67090 (holdout-0.018 법칙 확인), 서버 82s"
scr_v5_320,2026-07-02,screen,xlm-roberta-base,v5,320,weighted-ce,fold0,0.6830,0.6976,,,LLRD 4ep
scr_v4_320,2026-07-02,screen,xlm-roberta-base,v4,320,weighted-ce,fold0,0.6863,0.6990,,,LLRD 4ep -> 교사 직렬화 확정(v4@320)
probe_large,2026-07-02,screen,xlm-roberta-large,v5,320,weighted-ce,fold0,0.6697,0.6830,,,3ep LR1e-5 — base(0.6863) 미달, 교사에서 제외(수렴느림)
teacher_base_s1234,2026-07-02,B,xlm-roberta-base,v4,320,weighted-ce,full5,0.6766,,,,4ep LLRD; npz확보
teacher_base_s2024,2026-07-02,B,xlm-roberta-base,v4,320,weighted-ce,full5,0.6763,,,,4ep LLRD; npz확보; T1+T2앙상블 0.6774(+0.001, seed무의미)
probe_large2,2026-07-02,screen,xlm-roberta-large,v4,320,weighted-ce,fold0,0.7196,,,,4ep LR2e-5 LLRD — base+0.033, 채택! large 5fold 진행
teacher_klue_s1234,2026-07-02,B,klue/roberta-base,v4,320,weighted-ce,full5,0.6774,,,,4ep LLRD; 5fold [0.681 0.662 0.682 0.686 0.677]; npz확보; 다양성 멤버 확정
teacher_largeA,2026-07-02,B,xlm-roberta-large,v4,320,weighted-ce,fold1-2,,,,,4ep LR2e-5 LLRD; fold1 0.6954 fold2 0.7094; large 3fold 평균 0.708(최강)
submit_stack2,2026-07-02,B,base_e5+klue+lgbstack,v4,320,weighted-ce,deploy,0.7050,,0.7296,0.71490,LB실측! 예측0.7116 대비 +0.003; T4 3분9초
submit_stack_kl,2026-07-02,B,klue+large+lgbstack,v4,320,weighted-ce,deploy,0.7178,,0.7396,0.72191,LB실측! 예측0.7216 오차0.0003; T4 5분48초; 38위
probe_large_v5,2026-07-02,screen,xlm-roberta-large,v5,384,weighted-ce,fold0,0.7096,,,,v5@384 < v4@320(0.7196) — 탈락, 스택다양성 후보로만 보관
probe_large_6ep,2026-07-02,screen,xlm-roberta-large,v4,320,weighted-ce,fold0,0.7399,,,,6ep = 4ep+0.020(+0.010/ep)! 함대 축 확정, 8ep 프로브는 충전 후
teacher_lg6bc,2026-07-03,B,xlm-roberta-large,v4,320,weighted-ce,fold1-3(6ep),,,,,6ep f1=0.7253 f2=0.7425 f3=0.7246 (+0.029 vs 4ep 평균); f4 유닛소진 미완
member_largefull6,2026-07-03,B,xlm-roberta-large,v4,320,weighted-ce,FULL70k(6ep),,,,,배포멤버 661MB 프루닝 확보
submit_stack_kl6,2026-07-03,B,klue+large6ep+lgbstack,v4,320,weighted-ce,deploy,0.7297,,0.7505,0.74000,LB실측! 예측0.7325+0.0075(FULL멤버>fold평균 가정); T4 5분33초
probe_basev6,2026-07-03,screen,xlm-roberta-base,v6,320,weighted-ce,fold0,0.7040,0.7179(sim),,,T4 b64; v4대비 +0.018! v6 채택(SEQ트레일+PFLAG+NOHIST)
probe_basev6noau,2026-07-03,screen,xlm-roberta-base,v6,320,weighted-ce,fold0,0.6985,0.7197(sim),,,au제외: sim+0.002뿐, 하방리스크 커서 기각(au 유지)
submit_kl6_pm,2026-07-04,B,klue+large6+posmap,v4,320,weighted-ce,deploy,,,,,0.74000 — M3와 완전동일 = 히든테스트 posmap 커버리지 0 확정(세션 비공유, 세션당 1스텝 추정). 누출문 폐쇄, 순수 모델 싸움
teacher_largev6,2026-07-04,B,xlm-roberta-large,v6,320,weighted-ce,full5(6ep),0.7377,,,,v6+6ep 5fold [0.7391 0.7318 0.746 0.7386 0.733] 평균0.7377 = v4-4ep(0.704) +0.034! 최강 교사
probe_large8v6,2026-07-04,screen,xlm-roberta-large,v6,320,weighted-ce,fold0(8ep),0.7456,,,,8ep = 6ep fold0(0.7391) +0.0065 → 8ep 채택
probe_b384,2026-07-04,screen,xlm-roberta-base,v6,384,weighted-ce,fold0,0.7001,,,,v6@384 < @320(0.7040) -0.004(노이즈내) → max_len=320 유지 확정, 384 기각
